dataset,split_set,seed,source,method,display_name,num_splits,average_precision_mean,average_precision_std,auroc_mean,auroc_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,ap_delta_pct,f1_delta_pct,tecr_reduction_pct
openimages_10k,classA,20260522,openimages_10k_heldout_ultrastrict,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8596964567160015,0.03251609671832062,0.8775591607810898,0.025593792050821452,0.7807130754262317,0.035215758677346054,0.2724313318709224,0.05778041043365672,0.0,0.0,0.0
openimages_10k,classA,20260522,openimages_10k_heldout_ultrastrict,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8594697855924738,0.03282827627074018,0.8775508066165534,0.02545775032642082,0.7766135049176949,0.037641699210549565,0.21120303400778004,0.039492798243267985,-0.026366413605282534,-0.5251059111951792,22.47476361938877
openimages_10k,classA,20260523,openimages_10k_heldout_ultrastrict_s20260523,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8629929987002646,0.03534051295735407,0.8795746963638182,0.029425110798059873,0.783824099741596,0.03585171939013169,0.2555643485205473,0.0829709231319349,0.0,0.0,0.0
openimages_10k,classA,20260523,openimages_10k_heldout_ultrastrict_s20260523,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.862879794516547,0.03494473982363511,0.8790721070078806,0.029282615403211802,0.7824887236304356,0.03120057438656292,0.20304096713145975,0.11576003119728688,-0.013117624811339663,-0.17036680954317904,20.551920364927074
openimages_10k,classA,20260524,openimages_10k_heldout_ultrastrict_s20260524,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8569826742487759,0.03731084308462468,0.8769285844271533,0.02781661470755503,0.7730948038376055,0.03665248037050635,0.24927709040249385,0.07105494048555205,0.0,0.0,0.0
openimages_10k,classA,20260524,openimages_10k_heldout_ultrastrict_s20260524,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8565216190745888,0.03726945169139944,0.8765832589640699,0.027536266947606015,0.7718240713708214,0.03499783683579513,0.19922548932384343,0.05374053397395792,-0.053799824435343445,-0.16436955215275706,20.07870077343846
openimages_10k,classA,20260525,openimages_10k_heldout_ultrastrict_s20260525,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8590850806282765,0.033587812170870944,0.8728114627457142,0.027756547954696533,0.775421058114928,0.03432666347170923,0.25733238294615923,0.06305880435647257,0.0,0.0,0.0
openimages_10k,classA,20260525,openimages_10k_heldout_ultrastrict_s20260525,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8594757509496789,0.034091478535528415,0.8731306016686198,0.02855382727388653,0.774296307413548,0.03483543031241735,0.20917203763690786,0.07373298659264856,0.04547516075086263,-0.1450503168064928,18.71522921362283
openimages_10k,classA,20260526,openimages_10k_heldout_ultrastrict_s20260526,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8515587051213803,0.035831959026380394,0.8731433205469893,0.026704504713472015,0.7763246359413007,0.033705645564132,0.3057337108638845,0.06803087422560879,0.0,0.0,0.0
openimages_10k,classA,20260526,openimages_10k_heldout_ultrastrict_s20260526,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8520950553837172,0.03627921807784909,0.8739160626445386,0.02677972096803244,0.7741900322750082,0.032667833781212165,0.2753172620576342,0.08103726460725613,0.06298453167247493,-0.2749627626726495,9.948673543491584
openimages_10k,classA,20260527,openimages_10k_heldout_ultrastrict_s20260527,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8583610878596927,0.030440744347051577,0.8769805002482404,0.022773257167007267,0.7808061961296481,0.031097120271229038,0.2650642284513252,0.048846388920469296,0.0,0.0,0.0
openimages_10k,classA,20260527,openimages_10k_heldout_ultrastrict_s20260527,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8581828601358963,0.03042948573269076,0.8765446461651646,0.02346309501727167,0.778000809442267,0.028517665572572678,0.2156626861465571,0.03219284819874675,-0.020763723602708326,-0.35929359952405454,18.637574218672786
openimages_10k,classB,20260522,openimages_10k_heldout_ultrastrict_classB,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8536302708221379,0.026463141649862906,0.8733026818590603,0.023629441268469036,0.7639781165023979,0.029349143155895673,0.25349966515130506,0.04522431570572304,0.0,0.0,0.0
openimages_10k,classB,20260522,openimages_10k_heldout_ultrastrict_classB,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8530103787545155,0.029010296436170552,0.8727107563938716,0.027332950981149934,0.7675884659427757,0.03876796751268448,0.20119654692967673,0.03687046011367135,-0.07261833241052372,0.4725723633167085,20.63242102919956
openimages_10k,classB,20260523,openimages_10k_heldout_ultrastrict_classB_s20260523,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8487354444706735,0.03171850863971815,0.8712763974685152,0.024122054845824692,0.7670519534743894,0.03755843870921619,0.22815503194449568,0.04644075187572136,0.0,0.0,0.0
openimages_10k,classB,20260523,openimages_10k_heldout_ultrastrict_classB_s20260523,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8493885142797168,0.03177736625752784,0.8721252460599602,0.024497314135626145,0.765544145668493,0.03840011452236146,0.2075261295772374,0.03706653950721403,0.07694621607922067,-0.19657179661255697,9.041616216589416
openimages_10k,classB,20260524,openimages_10k_heldout_ultrastrict_classB_s20260524,clip_knn_global_threshold,"CLIP+kNN, global threshold",5,0.8459478344809567,0.037107420760530474,0.8691540318404322,0.027825036469827938,0.7655758850910193,0.03136469712914982,0.28985672921615374,0.12901760365289996,0.0,0.0,0.0
openimages_10k,classB,20260524,openimages_10k_heldout_ultrastrict_classB_s20260524,heldout_gate_global_threshold,"Held-out gate, global threshold",5,0.8460306009950671,0.03668167257282482,0.8696859217534693,0.027818878837175137,0.7664744743021727,0.033311730067430156,0.2257788906697579,0.10723166120734604,0.009783879186973196,0.11737428368014173,22.10672794096539
