calibration_dataset_fraction,method,num_configs,num_split_averages,num_calibration_images_used_mean,average_precision_mean,average_precision_std,best_f1_mean,best_f1_std,tecr_mean,tecr_std,ap_delta_pct,f1_delta_pct,tecr_reduction_pct
0.1,clip_knn,12,60,1000.0,0.8524910626822928,0.008357219719574427,0.7713287377621979,0.008861139487553436,0.25836211502702566,0.036972675076028534,0.0,0.0,0.0
0.1,heldout_gate,12,60,1000.0,0.8528488699329712,0.00827273566944979,0.7700594873971768,0.008345534602086249,0.21298759824061583,0.03243752904716514,0.041971965025949215,-0.16455375028596902,17.562372401876136
0.15,clip_knn,12,60,1500.0,0.8524910626822928,0.008357219719574427,0.7706790837767868,0.0076305233313920555,0.2529250027639778,0.038894762059607575,0.0,0.0,0.0
0.15,heldout_gate,12,60,1500.0,0.8527191903754378,0.008233484961490062,0.7702011293167613,0.007059722406510732,0.20767613427502307,0.025533645534068096,0.026760127247219198,-0.06201731305373679,17.890231489363522
0.2,clip_knn,12,60,2000.0,0.8524910626822928,0.008357219719574427,0.7720799181377695,0.008270453519227845,0.2567760628702403,0.038633054774044835,0.0,0.0,0.0
0.2,heldout_gate,12,60,2000.0,0.8526544429622717,0.008401049708423291,0.771066848750202,0.00892333532025522,0.21676458108719787,0.03645955845370994,0.019165043146001037,-0.13121302131662743,15.5822475567989
0.25,clip_knn,12,60,2500.0,0.8524910626822928,0.008357219719574427,0.7718886471455405,0.00797065482320079,0.25116777727237644,0.03482084965538189,0.0,0.0,0.0
0.25,heldout_gate,12,60,2500.0,0.8527714031641462,0.0081171791356831,0.7707396314336757,0.007565748603266678,0.20779027290128274,0.02599062903967147,0.03288485875398715,-0.14885770325989994,17.27033015228438
0.3,clip_knn,12,60,3000.0,0.8524910626822928,0.008357219719574427,0.7720991304316388,0.0081682025066384,0.25074014027226676,0.034365317030810236,0.0,0.0,0.0
0.3,heldout_gate,12,60,3000.0,0.8527398216011123,0.008330654934754987,0.7705261895383301,0.00801383723545994,0.20472060834329495,0.025083358628621343,0.02918023774193962,-0.20372266090098837,18.353476184148818
