dataset,config_name,seed,split,eval_images,retrieval_images,calibration_images,num_tail_labels,num_emerging_labels,tail_positive_eval_images,emerging_positive_eval_images,risk_set_denominator,risk_set_fraction
coco,coco_heldout_ultrastrict_classB,20260522,split_0,2000,2000,1000,10,15,210,1358,90,0.045
coco,coco_heldout_ultrastrict_classB,20260522,split_1,2000,2000,1000,10,15,216,698,173,0.0865
coco,coco_heldout_ultrastrict_classB,20260522,split_2,2000,2000,1000,10,15,220,698,161,0.0805
coco,coco_heldout_ultrastrict_classB,20260522,split_3,2000,2000,1000,10,15,225,759,157,0.0785
coco,coco_heldout_ultrastrict_classB,20260522,split_4,2000,2000,1000,10,15,219,724,178,0.089
coco,coco_heldout_ultrastrict_classB,20260523,split_0,2000,2000,1000,10,15,214,1356,115,0.0575
coco,coco_heldout_ultrastrict_classB,20260523,split_1,2000,2000,1000,10,15,220,695,168,0.084
coco,coco_heldout_ultrastrict_classB,20260523,split_2,2000,2000,1000,10,15,231,721,155,0.0775
coco,coco_heldout_ultrastrict_classB,20260523,split_3,2000,2000,1000,10,15,235,754,157,0.0785
coco,coco_heldout_ultrastrict_classB,20260523,split_4,2000,2000,1000,10,15,217,746,168,0.084
coco,coco_heldout_ultrastrict_classB,20260524,split_0,2000,2000,1000,10,15,213,1408,120,0.06
coco,coco_heldout_ultrastrict_classB,20260524,split_1,2000,2000,1000,10,15,239,686,149,0.0745
coco,coco_heldout_ultrastrict_classB,20260524,split_2,2000,2000,1000,10,15,211,817,126,0.063
coco,coco_heldout_ultrastrict_classB,20260524,split_3,2000,2000,1000,10,15,254,788,178,0.089
coco,coco_heldout_ultrastrict_classB,20260524,split_4,2000,2000,1000,10,15,217,769,137,0.0685
coco,coco_heldout_ultrastrict_classB,20260525,split_0,2000,2000,1000,10,15,234,1487,90,0.045
coco,coco_heldout_ultrastrict_classB,20260525,split_1,2000,2000,1000,10,15,255,683,188,0.094
coco,coco_heldout_ultrastrict_classB,20260525,split_2,2000,2000,1000,10,15,225,720,169,0.0845
coco,coco_heldout_ultrastrict_classB,20260525,split_3,2000,2000,1000,10,15,257,846,178,0.089
coco,coco_heldout_ultrastrict_classB,20260525,split_4,2000,2000,1000,10,15,250,765,158,0.079
coco,coco_heldout_ultrastrict_classB,20260526,split_0,2000,2000,1000,10,15,240,1408,119,0.0595
coco,coco_heldout_ultrastrict_classB,20260526,split_1,2000,2000,1000,10,15,239,688,172,0.086
coco,coco_heldout_ultrastrict_classB,20260526,split_2,2000,2000,1000,10,15,223,786,157,0.0785
coco,coco_heldout_ultrastrict_classB,20260526,split_3,2000,2000,1000,10,15,257,780,213,0.1065
coco,coco_heldout_ultrastrict_classB,20260526,split_4,2000,2000,1000,10,15,232,761,171,0.0855
coco,coco_heldout_ultrastrict_classB,20260527,split_0,2000,2000,1000,10,15,237,1412,125,0.0625
coco,coco_heldout_ultrastrict_classB,20260527,split_1,2000,2000,1000,10,15,238,688,161,0.0805
coco,coco_heldout_ultrastrict_classB,20260527,split_2,2000,2000,1000,10,15,219,812,146,0.073
coco,coco_heldout_ultrastrict_classB,20260527,split_3,2000,2000,1000,10,15,254,808,196,0.098
coco,coco_heldout_ultrastrict_classB,20260527,split_4,2000,2000,1000,10,15,223,796,152,0.076
coco,coco_heldout_ultrastrict,20260522,split_0,2000,2000,1000,10,15,221,1386,79,0.0395
coco,coco_heldout_ultrastrict,20260522,split_1,2000,2000,1000,10,15,216,663,170,0.085
coco,coco_heldout_ultrastrict,20260522,split_2,2000,2000,1000,10,15,205,1362,89,0.0445
coco,coco_heldout_ultrastrict,20260522,split_3,2000,2000,1000,10,15,212,806,145,0.0725
coco,coco_heldout_ultrastrict,20260522,split_4,2000,2000,1000,10,15,222,1346,87,0.0435
coco,coco_heldout_ultrastrict,20260523,split_0,2000,2000,1000,10,15,234,1389,93,0.0465
coco,coco_heldout_ultrastrict,20260523,split_1,2000,2000,1000,10,15,232,681,167,0.0835
coco,coco_heldout_ultrastrict,20260523,split_2,2000,2000,1000,10,15,224,1360,115,0.0575
coco,coco_heldout_ultrastrict,20260523,split_3,2000,2000,1000,10,15,209,809,145,0.0725
coco,coco_heldout_ultrastrict,20260523,split_4,2000,2000,1000,10,15,220,1321,111,0.0555
coco,coco_heldout_ultrastrict,20260524,split_0,2000,2000,1000,10,15,213,1433,94,0.047
coco,coco_heldout_ultrastrict,20260524,split_1,2000,2000,1000,10,15,201,745,165,0.0825
coco,coco_heldout_ultrastrict,20260524,split_2,2000,2000,1000,10,15,254,1348,106,0.053
coco,coco_heldout_ultrastrict,20260524,split_3,2000,2000,1000,10,15,208,837,143,0.0715
coco,coco_heldout_ultrastrict,20260524,split_4,2000,2000,1000,10,15,227,1376,119,0.0595
coco,coco_heldout_ultrastrict,20260525,split_0,2000,2000,1000,10,15,234,1433,96,0.048
coco,coco_heldout_ultrastrict,20260525,split_1,2000,2000,1000,10,15,259,678,175,0.0875
coco,coco_heldout_ultrastrict,20260525,split_2,2000,2000,1000,10,15,254,1398,110,0.055
coco,coco_heldout_ultrastrict,20260525,split_3,2000,2000,1000,10,15,244,779,138,0.069
coco,coco_heldout_ultrastrict,20260525,split_4,2000,2000,1000,10,15,259,1395,130,0.065
coco,coco_heldout_ultrastrict,20260526,split_0,2000,2000,1000,10,15,238,1407,129,0.0645
coco,coco_heldout_ultrastrict,20260526,split_1,2000,2000,1000,10,15,244,746,209,0.1045
coco,coco_heldout_ultrastrict,20260526,split_2,2000,2000,1000,10,15,257,1352,118,0.059
coco,coco_heldout_ultrastrict,20260526,split_3,2000,2000,1000,10,15,232,824,178,0.089
coco,coco_heldout_ultrastrict,20260526,split_4,2000,2000,1000,10,15,235,1363,131,0.0655
coco,coco_heldout_ultrastrict,20260527,split_0,2000,2000,1000,10,15,234,1392,110,0.055
coco,coco_heldout_ultrastrict,20260527,split_1,2000,2000,1000,10,15,241,737,197,0.0985
coco,coco_heldout_ultrastrict,20260527,split_2,2000,2000,1000,10,15,249,1339,121,0.0605
coco,coco_heldout_ultrastrict,20260527,split_3,2000,2000,1000,10,15,222,828,161,0.0805
coco,coco_heldout_ultrastrict,20260527,split_4,2000,2000,1000,10,15,235,1362,113,0.0565
nuswide,nuswide_heldout_ultrastrict_classB,20260522,split_0,4283,4283,2141,10,15,127,2309,72,0.016810646742937193
nuswide,nuswide_heldout_ultrastrict_classB,20260522,split_1,4283,4283,2141,10,15,151,2956,77,0.017978052766752278
nuswide,nuswide_heldout_ultrastrict_classB,20260522,split_2,4283,4283,2141,10,15,143,1791,84,0.01961242120009339
nuswide,nuswide_heldout_ultrastrict_classB,20260522,split_3,4283,4283,2141,10,15,128,1994,89,0.020779827223908476
nuswide,nuswide_heldout_ultrastrict_classB,20260522,split_4,4283,4283,2141,10,15,141,977,117,0.02731730095727294
nuswide,nuswide_heldout_ultrastrict_classB,20260523,split_0,4283,4283,2141,10,15,172,2498,99,0.02311463927153864
nuswide,nuswide_heldout_ultrastrict_classB,20260523,split_1,4283,4283,2141,10,15,148,1345,102,0.02381508288582769
nuswide,nuswide_heldout_ultrastrict_classB,20260523,split_2,4283,4283,2141,10,15,165,543,142,0.03315433107634835
nuswide,nuswide_heldout_ultrastrict_classB,20260523,split_3,4283,4283,2141,10,15,152,1143,112,0.026149894933457856
nuswide,nuswide_heldout_ultrastrict_classB,20260523,split_4,4283,4283,2141,10,15,154,764,148,0.03455521830492645
nuswide,nuswide_heldout_ultrastrict_classB,20260524,split_0,4283,4283,2141,10,15,173,1743,116,0.027083819752509924
nuswide,nuswide_heldout_ultrastrict_classB,20260524,split_1,4283,4283,2141,10,15,158,1383,133,0.031053000233481204
nuswide,nuswide_heldout_ultrastrict_classB,20260524,split_2,4283,4283,2141,10,15,185,2012,129,0.03011907541442914
nuswide,nuswide_heldout_ultrastrict_classB,20260524,split_3,4283,4283,2141,10,15,146,958,105,0.02451552650011674
nuswide,nuswide_heldout_ultrastrict_classB,20260524,split_4,4283,4283,2141,10,15,162,2091,104,0.024282045295353723
nuswide,nuswide_heldout_ultrastrict_classB,20260525,split_0,4283,4283,2141,10,15,132,1221,96,0.022414195657249593
nuswide,nuswide_heldout_ultrastrict_classB,20260525,split_1,4283,4283,2141,10,15,140,2677,92,0.021480270838197525
nuswide,nuswide_heldout_ultrastrict_classB,20260525,split_2,4283,4283,2141,10,15,192,1963,133,0.031053000233481204
nuswide,nuswide_heldout_ultrastrict_classB,20260525,split_3,4283,4283,2141,10,15,137,2127,85,0.019845902404856407
nuswide,nuswide_heldout_ultrastrict_classB,20260525,split_4,4283,4283,2141,10,15,134,926,103,0.024048564090590707
nuswide,nuswide_heldout_ultrastrict_classB,20260526,split_0,4283,4283,2141,10,15,149,2595,87,0.020312864814382443
nuswide,nuswide_heldout_ultrastrict_classB,20260526,split_1,4283,4283,2141,10,15,148,879,119,0.027784263366798973
nuswide,nuswide_heldout_ultrastrict_classB,20260526,split_2,4283,4283,2141,10,15,174,598,143,0.03338781228111137
nuswide,nuswide_heldout_ultrastrict_classB,20260526,split_3,4283,4283,2141,10,15,136,1439,83,0.019378939995330375
nuswide,nuswide_heldout_ultrastrict_classB,20260526,split_4,4283,4283,2141,10,15,141,1152,105,0.02451552650011674
nuswide,nuswide_heldout_ultrastrict,20260522,split_0,4283,4283,2141,10,15,121,2933,40,0.009339248190520663
nuswide,nuswide_heldout_ultrastrict,20260522,split_1,4283,4283,2141,10,15,146,683,126,0.02941863180014009
nuswide,nuswide_heldout_ultrastrict,20260522,split_2,4283,4283,2141,10,15,137,1902,92,0.021480270838197525
nuswide,nuswide_heldout_ultrastrict,20260522,split_3,4283,4283,2141,10,15,142,1562,94,0.021947233247723557
nuswide,nuswide_heldout_ultrastrict,20260522,split_4,4283,4283,2141,10,15,135,2279,60,0.014008872285780995
nuswide,nuswide_heldout_ultrastrict,20260523,split_0,4283,4283,2141,10,15,165,1312,140,0.03268736866682232
nuswide,nuswide_heldout_ultrastrict,20260523,split_1,4283,4283,2141,10,15,154,1151,122,0.028484706981088022
nuswide,nuswide_heldout_ultrastrict,20260523,split_2,4283,4283,2141,10,15,209,847,181,0.042260098062106004
nuswide,nuswide_heldout_ultrastrict,20260523,split_3,4283,4283,2141,10,15,150,2328,89,0.020779827223908476
nuswide,nuswide_heldout_ultrastrict,20260523,split_4,4283,4283,2141,10,15,157,2298,65,0.015176278309596078
nuswide,nuswide_heldout_ultrastrict,20260524,split_0,4283,4283,2141,10,15,192,2206,132,0.030819519028718188
nuswide,nuswide_heldout_ultrastrict,20260524,split_1,4283,4283,2141,10,15,144,1220,127,0.029652113004903106
nuswide,nuswide_heldout_ultrastrict,20260524,split_2,4283,4283,2141,10,15,190,1665,127,0.029652113004903106
nuswide,nuswide_heldout_ultrastrict,20260524,split_3,4283,4283,2141,10,15,199,2305,119,0.027784263366798973
nuswide,nuswide_heldout_ultrastrict,20260524,split_4,4283,4283,2141,10,15,157,1513,117,0.02731730095727294
nuswide,nuswide_heldout_ultrastrict,20260525,split_0,4283,4283,2141,10,15,136,2973,36,0.008405323371468596
nuswide,nuswide_heldout_ultrastrict,20260525,split_1,4283,4283,2141,10,15,142,665,122,0.028484706981088022
nuswide,nuswide_heldout_ultrastrict,20260525,split_2,4283,4283,2141,10,15,138,2037,86,0.020079383609619427
nuswide,nuswide_heldout_ultrastrict,20260525,split_3,4283,4283,2141,10,15,137,1216,113,0.026383376138220872
nuswide,nuswide_heldout_ultrastrict,20260525,split_4,4283,4283,2141,10,15,135,2595,40,0.009339248190520663
nuswide,nuswide_heldout_ultrastrict,20260526,split_0,4283,4283,2141,10,15,160,1646,103,0.024048564090590707
nuswide,nuswide_heldout_ultrastrict,20260526,split_1,4283,4283,2141,10,15,141,1187,107,0.024982488909642775
nuswide,nuswide_heldout_ultrastrict,20260526,split_2,4283,4283,2141,10,15,143,1001,122,0.028484706981088022
nuswide,nuswide_heldout_ultrastrict,20260526,split_3,4283,4283,2141,10,15,156,2214,79,0.01844501517627831
nuswide,nuswide_heldout_ultrastrict,20260526,split_4,4283,4283,2141,10,15,138,2455,66,0.015409759514359094
openimages,openimages_10k_heldout_ultrastrict_classB,20260522,split_0,4000,4000,2000,10,15,480,1829,234,0.0585
openimages,openimages_10k_heldout_ultrastrict_classB,20260522,split_1,4000,4000,2000,10,15,482,1652,244,0.061
openimages,openimages_10k_heldout_ultrastrict_classB,20260522,split_2,4000,4000,2000,10,15,482,1656,257,0.06425
openimages,openimages_10k_heldout_ultrastrict_classB,20260522,split_3,4000,4000,2000,10,15,469,1776,220,0.055
openimages,openimages_10k_heldout_ultrastrict_classB,20260522,split_4,4000,4000,2000,10,15,466,1948,203,0.05075
openimages,openimages_10k_heldout_ultrastrict_classB,20260523,split_0,4000,4000,2000,10,15,509,1852,285,0.07125
openimages,openimages_10k_heldout_ultrastrict_classB,20260523,split_1,4000,4000,2000,10,15,490,1675,254,0.0635
openimages,openimages_10k_heldout_ultrastrict_classB,20260523,split_2,4000,4000,2000,10,15,509,1623,265,0.06625
openimages,openimages_10k_heldout_ultrastrict_classB,20260523,split_3,4000,4000,2000,10,15,489,1782,237,0.05925
openimages,openimages_10k_heldout_ultrastrict_classB,20260523,split_4,4000,4000,2000,10,15,509,1968,224,0.056
openimages,openimages_10k_heldout_ultrastrict_classB,20260524,split_0,4000,4000,2000,10,15,485,1818,295,0.07375
openimages,openimages_10k_heldout_ultrastrict_classB,20260524,split_1,4000,4000,2000,10,15,476,1668,259,0.06475
openimages,openimages_10k_heldout_ultrastrict_classB,20260524,split_2,4000,4000,2000,10,15,479,1614,269,0.06725
openimages,openimages_10k_heldout_ultrastrict_classB,20260524,split_3,4000,4000,2000,10,15,487,1760,243,0.06075
openimages,openimages_10k_heldout_ultrastrict_classB,20260524,split_4,4000,4000,2000,10,15,465,1960,167,0.04175
openimages,openimages_10k_heldout_ultrastrict_classB,20260525,split_0,4000,4000,2000,10,15,480,1835,266,0.0665
openimages,openimages_10k_heldout_ultrastrict_classB,20260525,split_1,4000,4000,2000,10,15,461,1667,256,0.064
openimages,openimages_10k_heldout_ultrastrict_classB,20260525,split_2,4000,4000,2000,10,15,469,1654,253,0.06325
openimages,openimages_10k_heldout_ultrastrict_classB,20260525,split_3,4000,4000,2000,10,15,490,1741,294,0.0735
openimages,openimages_10k_heldout_ultrastrict_classB,20260525,split_4,4000,4000,2000,10,15,469,1986,219,0.05475
openimages,openimages_10k_heldout_ultrastrict_classB,20260526,split_0,4000,4000,2000,10,15,486,1828,284,0.071
openimages,openimages_10k_heldout_ultrastrict_classB,20260526,split_1,4000,4000,2000,10,15,476,1626,276,0.069
openimages,openimages_10k_heldout_ultrastrict_classB,20260526,split_2,4000,4000,2000,10,15,462,1622,241,0.06025
openimages,openimages_10k_heldout_ultrastrict_classB,20260526,split_3,4000,4000,2000,10,15,502,1722,299,0.07475
openimages,openimages_10k_heldout_ultrastrict_classB,20260526,split_4,4000,4000,2000,10,15,491,1916,168,0.042
openimages,openimages_10k_heldout_ultrastrict_classB,20260527,split_0,4000,4000,2000,10,15,519,1814,285,0.07125
openimages,openimages_10k_heldout_ultrastrict_classB,20260527,split_1,4000,4000,2000,10,15,518,1627,306,0.0765
openimages,openimages_10k_heldout_ultrastrict_classB,20260527,split_2,4000,4000,2000,10,15,512,1641,298,0.0745
openimages,openimages_10k_heldout_ultrastrict_classB,20260527,split_3,4000,4000,2000,10,15,500,1717,273,0.06825
openimages,openimages_10k_heldout_ultrastrict_classB,20260527,split_4,4000,4000,2000,10,15,508,1953,201,0.05025
openimages,openimages_10k_heldout_ultrastrict,20260522,split_0,4000,4000,2000,10,15,482,1977,217,0.05425
openimages,openimages_10k_heldout_ultrastrict,20260522,split_1,4000,4000,2000,10,15,507,1900,192,0.048
openimages,openimages_10k_heldout_ultrastrict,20260522,split_2,4000,4000,2000,10,15,470,1763,200,0.05
openimages,openimages_10k_heldout_ultrastrict,20260522,split_3,4000,4000,2000,10,15,478,1620,201,0.05025
openimages,openimages_10k_heldout_ultrastrict,20260522,split_4,4000,4000,2000,10,15,505,1833,271,0.06775
openimages,openimages_10k_heldout_ultrastrict,20260523,split_0,4000,4000,2000,10,15,484,2060,227,0.05675
openimages,openimages_10k_heldout_ultrastrict,20260523,split_1,4000,4000,2000,10,15,518,1876,262,0.0655
openimages,openimages_10k_heldout_ultrastrict,20260523,split_2,4000,4000,2000,10,15,487,1745,300,0.075
openimages,openimages_10k_heldout_ultrastrict,20260523,split_3,4000,4000,2000,10,15,504,1618,253,0.06325
openimages,openimages_10k_heldout_ultrastrict,20260523,split_4,4000,4000,2000,10,15,508,1855,295,0.07375
openimages,openimages_10k_heldout_ultrastrict,20260524,split_0,4000,4000,2000,10,15,485,1979,258,0.0645
openimages,openimages_10k_heldout_ultrastrict,20260524,split_1,4000,4000,2000,10,15,497,1845,256,0.064
openimages,openimages_10k_heldout_ultrastrict,20260524,split_2,4000,4000,2000,10,15,472,1735,250,0.0625
openimages,openimages_10k_heldout_ultrastrict,20260524,split_3,4000,4000,2000,10,15,477,1613,240,0.06
openimages,openimages_10k_heldout_ultrastrict,20260524,split_4,4000,4000,2000,10,15,477,1812,281,0.07025
openimages,openimages_10k_heldout_ultrastrict,20260525,split_0,4000,4000,2000,10,15,490,2019,249,0.06225
openimages,openimages_10k_heldout_ultrastrict,20260525,split_1,4000,4000,2000,10,15,512,1881,303,0.07575
openimages,openimages_10k_heldout_ultrastrict,20260525,split_2,4000,4000,2000,10,15,466,1801,248,0.062
openimages,openimages_10k_heldout_ultrastrict,20260525,split_3,4000,4000,2000,10,15,490,1651,252,0.063
openimages,openimages_10k_heldout_ultrastrict,20260525,split_4,4000,4000,2000,10,15,478,1860,309,0.07725
openimages,openimages_10k_heldout_ultrastrict,20260526,split_0,4000,4000,2000,10,15,492,1990,261,0.06525
openimages,openimages_10k_heldout_ultrastrict,20260526,split_1,4000,4000,2000,10,15,525,1839,261,0.06525
openimages,openimages_10k_heldout_ultrastrict,20260526,split_2,4000,4000,2000,10,15,460,1732,206,0.0515
openimages,openimages_10k_heldout_ultrastrict,20260526,split_3,4000,4000,2000,10,15,487,1585,241,0.06025
openimages,openimages_10k_heldout_ultrastrict,20260526,split_4,4000,4000,2000,10,15,491,1830,267,0.06675
openimages,openimages_10k_heldout_ultrastrict,20260527,split_0,4000,4000,2000,10,15,508,1998,270,0.0675
openimages,openimages_10k_heldout_ultrastrict,20260527,split_1,4000,4000,2000,10,15,512,1890,222,0.0555
openimages,openimages_10k_heldout_ultrastrict,20260527,split_2,4000,4000,2000,10,15,523,1754,248,0.062
openimages,openimages_10k_heldout_ultrastrict,20260527,split_3,4000,4000,2000,10,15,524,1633,264,0.066
openimages,openimages_10k_heldout_ultrastrict,20260527,split_4,4000,4000,2000,10,15,543,1814,297,0.07425
